genre,label,n,count,prop,ci_lo,ci_hi
everyday,ANT,99,1,0.010101010101010102,0.001785261320052029,0.05501665541403223
everyday,MER,99,0,0.0,0.0,0.03735453357396229
everyday,PAR,99,5,0.050505050505050504,0.02176291355669112,0.11282853581788105
everyday,SYN,99,93,0.9393939393939394,0.8740305823550434,0.9719305851102626
everyday,NONE,99,0,0.0,0.0,0.03735453357396229
legal,ANT,400,0,0.0,0.0,0.009512640599680667
legal,MER,400,5,0.0125,0.005350671853550634,0.02892415273113802
legal,PAR,400,18,0.045,0.02865122338409046,0.07000527956161895
legal,SYN,400,334,0.835,0.7954710126340742,0.8681555181641397
legal,NONE,400,43,0.1075,0.08079329401678036,0.14167412885396896
math,ANT,627,64,0.10207336523125997,0.08074760548897805,0.1282455870969262
math,MER,627,201,0.32057416267942584,0.2852311484603854,0.3581024554110144
math,PAR,627,5,0.007974481658692184,0.00341084303714592,0.01853063957909245
math,SYN,627,354,0.5645933014354066,0.5255068299798553,0.6028930726264408
math,NONE,627,3,0.004784688995215311,0.0016285027015279507,0.013972243983535302
